date,erst,zweit,bion,moderna,astra
2020-12-27,23713,0,23716,0,0
2020-12-28,18737,0,18737,0,0
2020-12-29,42820,0,42820,0,0
2020-12-30,57835,0,57835,0,0
2020-12-31,38868,0,38868,0,0
2021-01-01,24666,0,24666,0,0
2021-01-02,52185,0,52185,0,0
2021-01-03,24989,0,24989,0,0
2021-01-04,48707,0,48707,0,0
2021-01-05,52391,0,52391,0,0
2021-01-06,59361,0,59361,0,0
2021-01-07,58414,0,58414,0,0
2021-01-08,60856,0,60856,0,0
2021-01-09,56985,0,56985,0,0
2021-01-10,33456,0,33456,0,0
2021-01-11,65973,0,65973,0,0
2021-01-12,81822,0,81822,0,0
2021-01-13,99284,0,98485,799,0
2021-01-14,99901,114,95432,4583,0
2021-01-15,92325,431,87309,5447,0
2021-01-16,56755,400,55383,1772,0
2021-01-17,30692,13694,43082,1304,0
2021-01-18,58103,16371,72448,2026,0
2021-01-19,68702,27217,94364,1555,0
2021-01-20,78614,50635,127951,1298,0
2021-01-21,61094,35428,95420,1102,0
2021-01-22,84473,31394,114527,1340,0
2021-01-23,49318,43998,92933,383,0
2021-01-24,38031,28091,65878,244,0
2021-01-25,58212,39693,96435,1470,0
2021-01-26,53454,49350,101216,1588,0
2021-01-27,53806,59387,111282,1911,0
2021-01-28,51739,48461,93717,6483,0
2021-01-29,55976,53964,108535,1405,0
2021-01-30,39452,48555,87134,873,0
2021-01-31,31321,31443,62422,342,0
2021-02-01,50560,65727,114710,1577,0
2021-02-02,58457,69738,126167,2028,0
2021-02-03,58345,85325,138176,5494,0
2021-02-04,63761,72987,131684,5064,0
2021-02-05,60524,74076,130358,4242,0
2021-02-06,49336,55543,101478,3401,0
2021-02-07,33522,26854,56917,3459,0
2021-02-08,54907,52131,103129,3893,16
2021-02-09,59865,65695,121947,3506,107
2021-02-10,75552,77926,140846,5127,7505
2021-02-11,71731,72083,124326,5660,13828
2021-02-12,80428,78828,135929,9513,13814
2021-02-13,63677,47141,94491,3644,12683
2021-02-14,39809,26606,57033,2402,6980
2021-02-15,70852,56108,108678,3230,15052
2021-02-16,81609,53973,107537,4610,23435
2021-02-17,95619,54682,123688,7197,19416
2021-02-18,93967,52783,115372,7334,24044
2021-02-19,98161,53268,119024,8489,23916
2021-02-20,75327,37658,86367,5681,20937
2021-02-21,56545,29063,65926,4221,15461
2021-02-22,99651,53106,119940,7125,25692
2021-02-23,104878,56605,128383,6373,26727
2021-02-24,114965,58152,131469,7679,33969
2021-02-25,127384,53195,125914,6218,48447
2021-02-26,137415,59470,133845,7163,55877
2021-02-27,109198,38761,94206,4159,49594
2021-02-28,84507,28165,67212,3621,41839
2021-03-01,141555,50435,129128,7815,55047
2021-03-02,162093,55850,144203,8428,65312
2021-03-03,174362,67686,162956,11672,67420
2021-03-04,177347,62958,144056,12619,83630
2021-03-05,188410,63525,142124,12532,97279
2021-03-06,146853,47346,108263,7937,77999
2021-03-07,113746,34532,84175,6634,57469
2021-03-08,178542,53412,136706,11424,83824
2021-03-09,193139,55089,140808,11786,95634
2021-03-10,212326,67612,158742,11931,109265
2021-03-11,225889,62956,154621,12542,121682
2021-03-12,234574,69419,150852,14974,138167
2021-03-13,188645,48263,113207,9302,114399
2021-03-14,130338,35242,88421,4834,72325
2021-03-15,176713,57350,148248,11487,74328
2021-03-16,111535,66374,166529,9808,1572
2021-03-17,127337,81233,191132,15985,1453
2021-03-18,115687,73486,171070,16562,1541
2021-03-19,148362,79763,178104,17163,32858
2021-03-20,153997,52693,132062,14009,60619
2021-03-21,125447,39157,106737,8984,48883
2021-03-22,182200,77916,172088,20867,67161
2021-03-23,187901,80394,173082,14289,80924
