land,population,continent,deathrate,datum
Österreich,8880000,Europa,17.053,2022-04-28
Finnland,5520000,Europa,7.79,2022-04-28
Großbritannien,66830000,Europa,3.572,2022-04-28
Griechenland,10720000,Europa,3.532,2022-04-28
Deutschland,83019213,Europa,2.488,2022-04-28
Ungarn,9770000,Europa,2.412,2022-04-28
Südkorea,51710000,Asien,2.351,2022-04-28
Italien,60300000,Europa,2.322,2022-04-28
Dänemark,5820000,Europa,2.16,2022-04-28
Slowakei,5450000,Europa,1.993,2022-04-28
Frankreich,67060000,Europa,1.943,2022-04-28
Kanada,37590000,Nordamerika,1.874,2022-04-28
Portugal,10270000,Europa,1.684,2022-04-28
Norwegen,5350000,Europa,1.628,2022-04-28
Thailand,69630000,Asien,1.541,2022-04-28
Spanien,47080000,Europa,1.535,2022-04-28
Belgien,11480000,Europa,1.493,2022-04-28
Australien,25360000,Asien,1.397,2022-04-28
Bulgarien,6980000,Europa,1.289,2022-04-28
Chile,18950000,Südamerika,1.282,2022-04-28
Russland,144370000,Europa,1.154,2022-04-28
Schweden,10290000,Europa,1.153,2022-04-28
Tschechien,10670000,Europa,1.138,2022-04-28
USA,328240000,Nordamerika,1.082,2022-04-28
Serbien,6940000,Europa,0.72,2022-04-28
Schweiz,8570000,Europa,0.634,2022-04-28
Argentinien,44940000,Südamerika,0.63,2022-04-28
Costa Rica,5050000,Nordamerika,0.622,2022-04-28
Guatemala,16600000,Nordamerika,0.602,2022-04-28
Israel,9050000,Asien,0.585,2022-04-28
Rumänien,19360000,Europa,0.502,2022-04-28
Brasilien,211050000,Südamerika,0.483,2022-04-28
Polen,37970000,Europa,0.463,2022-04-28
Ecuador,17370000,Südamerika,0.37,2022-04-28
Peru,32510000,Südamerika,0.365,2022-04-28
Niederlande,17330000,Europa,0.363,2022-04-28
Belarus,9470000,Europa,0.347,2022-04-28
Japan,126260000,Asien,0.343,2022-04-28
Singapur,5700000,Asien,0.3,2022-04-28
Malaysia,31950000,Asien,0.295,2022-04-28
Philippinen,108120000,Asien,0.279,2022-04-28
Libanon,6860000,Asien,0.249,2022-04-28
Mexiko,127580000,Nordamerika,0.247,2022-04-28
Iran,82910000,Asien,0.24,2022-04-28
Tunesien,11690000,Afrika,0.208,2022-04-28
Südafrika,58560000,Afrika,0.193,2022-04-28
Paraguay,7040000,Südamerika,0.183,2022-04-28
Türkei,83430000,Europa,0.181,2022-04-28
Indien,1366420000,Asien,0.171,2022-04-28
Indonesien,270630000,Asien,0.107,2022-04-28
Kolumbien,50340000,Südamerika,0.085,2022-04-28
Jordanien,10100000,Asien,0.07,2022-04-28
Vietnam,96460000,Asien,0.068,2022-04-28
Bolivien,11510000,Südamerika,0.05,2022-04-28
Saudi-Arabien,34270000,Asien,0.042,2022-04-28
Kuba,11330000,Nordamerika,0.038,2022-04-28
China,1397720000,Asien,0.034,2022-04-28
Sri Lanka,21800000,Asien,0.033,2022-04-28
Irak,39310000,Asien,0.029,2022-04-28
El Salvador,6450000,Nordamerika,0.022,2022-04-28
Libyen,6780000,Afrika,0.021,2022-04-28
Nicaragua,6550000,Nordamerika,0.021,2022-04-28
Simbabwe,14650000,Afrika,0.02,2022-04-28
Marokko,36470000,Afrika,0.019,2022-04-28
Senegal,16300000,Afrika,0.018,2022-04-28
Sambia,17860000,Afrika,0.016,2022-04-28
Honduras,9750000,Nordamerika,0.014,2022-04-28
Afghanistan,38040000,Asien,0.011,2022-04-28
Guinea,12770000,Afrika,0.011,2022-04-28
Venezuela,28520000,Südamerika,0.01,2022-04-28
Malawi,18630000,Afrika,0.008,2022-04-28
Sudan,42810000,Afrika,0.007,2022-04-28
Jemen,29160000,Asien,0.005,2022-04-28
Algerien,43050000,Afrika,0.003,2022-04-28
Pakistan,216570000,Asien,0.001,2022-04-28
Ukraine,44390000,Europa,0,2022-04-28
Dom. Rep.,10740000,Nordamerika,0,2022-04-28
Kirgisistan,6460000,Asien,0,2022-04-28
Aserbaidschan,10020000,Europa,0,2022-04-28
Kasachstan,18510000,Europa,0,2022-04-28
Ägypten,100390000,Afrika,0,2022-04-28
VAE,9770000,Asien,0,2022-04-28
Nepal,28610000,Asien,0,2022-04-28
Bangladesch,163050000,Asien,0,2022-04-28
Syrien,17070000,Asien,0,2022-04-28
Kenia,52570000,Afrika,0,2022-04-28
Haiti,11260000,Nordamerika,0,2022-04-28
DR Kongo,5380000,Afrika,0,2022-04-28
Usbekistan,33580000,Asien,0,2022-04-28
Kamerun,25880000,Afrika,0,2022-04-28
Äthiopien,112080000,Afrika,0,2022-04-28
Angola,31830000,Afrika,0,2022-04-28
Ghana,30420000,Afrika,0,2022-04-28
Mali,19660000,Afrika,0,2022-04-28
Madagaskar,26970000,Afrika,0,2022-04-28
Sierra Leone,7810000,Afrika,0,2022-04-28
Tadschikistan,9320000,Asien,0,2022-04-28
Togo,8080000,Afrika,0,2022-04-28
Somalia,15440000,Afrika,0,2022-04-28
Tschad,15950000,Afrika,0,2022-04-28
Nigeria,200960000,Afrika,0,2022-04-28
Südsudan,11060000,Afrika,0,2022-04-28
Elfenbeinküste,25720000,Afrika,0,2022-04-28
Uganda,44270000,Afrika,0,2022-04-28
Mosambik,30370000,Afrika,0,2022-04-28
Ruanda,12630000,Afrika,0,2022-04-28
Kongo,86790000,Afrika,0,2022-04-28
Benin,11800000,Afrika,0,2022-04-28
Burkina Faso,20320000,Afrika,0,2022-04-28
Niger,23310000,Afrika,0,2022-04-28
Papua-Neuguinea,8780000,Asien,0,2022-04-28
Tansania,58010000,Afrika,0,2022-04-28
Burundi,11530000,Afrika,0,2022-04-28
