dritteland,drittecountry,drittecontinent,drittedate,dritte,dritterate,drittenorthamerica,drittesouthamerica,dritteeurope,dritteasia,dritteafrica,dritteworld
Welt,World,World,27.4.2022,1838364859,23.34,,,,,,23.34
Chile,Chile,South America,27.4.2022,17522029,91.2,,91.2,,,,
Singapur,Singapore,Asia,27.4.2022,3972039,72.83,,,,72.83,,
Südkorea,South Korea,Asia,27.4.2022,34560691,67.36,,,,67.36,,
Italien,Italy,Europe,27.4.2022,39559027,65.53,,,65.53,,,
Belgien,Belgium,Europe,27.4.2022,7360020,63.27,,,63.27,,,
Dänemark,Denmark,Europe,27.4.2022,3626402,62.38,,,62.38,,,
Portugal,Portugal,Europe,27.4.2022,6213268,61.11,,,61.11,,,
Deutschland,Germany,Europe,29.4.2022,3919356,59.3,,,59.3,,,
Taiwan,Taiwan,Asia,27.4.2022,13894674,58.25,,,,58.25,,
Kuba,Cuba,North America,27.4.2022,6530789,57.71,57.71,,,,,
Großbritannien,United Kingdom,Europe,27.4.2022,39204386,57.48,,,57.48,,,
Österreich,Austria,Europe,27.4.2022,5169372,57.16,,,57.16,,,
Kambodscha,Cambodia,Asia,27.4.2022,9663361,57.02,,,,57.02,,
Israel,Israel,Asia,27.4.2022,5287327,56.91,,,,56.91,,
Griechenland,Greece,Europe,27.4.2022,5877128,56.67,,,56.67,,,
Frankreich,France,Europe,27.4.2022,37295878,55.32,,,55.32,,,
Niederlande,Netherlands,Europe,27.4.2022,9267456,53.96,,,53.96,,,
Norwegen,Norway,Europe,27.4.2022,2926814,53.55,,,53.55,,,
Spanien,Spain,Europe,27.4.2022,24689379,52.82,,,52.82,,,
Finnland,Finland,Europe,27.4.2022,2916568,52.57,,,52.57,,,
