Gast;Auftritte;Partei;Funktion;Union;SPD;Grüne;FDP;Linke;AfD;Nachname
Karl Lauterbach;30;SPD;Gesundheitsexperte, Epidemiologe;;30;;;;;Lauterbach
Peter Altmaier;18;CDU;Bundeswirtschaftsminister;18;;;;;;Altmaier
Markus Söder;16;CSU;Ministerpräsident Bayern;16;;;;;;Söder
Olaf Scholz;12;SPD;Bundesfinanzminister;;12;;;;;Scholz
Annalena Baerbock;10;Grüne;Parteivorsitzende;;;10;;;;Baerbock
Armin Laschet;10;CDU;Ministerpräsident NRW;10;;;;;;Laschet
Malu Dreyer;10;SPD;Ministerpräsidentin Rheinland-Pfalz;;10;;;;;Dreyer
Peter Tschentscher;10;SPD;Erster Bürgermeister Hamburg;;10;;;;;Tschentscher
Stephan Weil;10;SPD;Ministerpräsident Niedersachsen;;10;;;;;Weil
Boris Palmer;9;Grüne;Oberbürgermeister von Tübingen;;;9;;;;Palmer
Helge Braun;9;CDU;Kanzleramtsminister;9;;;;;;Braun
Hubertus Heil;9;SPD;Bundesminister für Arbeit und Soziales;;9;;;;;Heil
Michael Müller;9;SPD;Regierender Bürgermeister Berlin;;9;;;;;Müller
Norbert Röttgen;9;CDU;Kandidat für den Parteivorsitz, Vorsitzender des Auswärtigen Ausschusses im Bundestag;9;;;;;;Röttgen
Sahra Wagenknecht;9;Linke;MdB, Volkswirtin;;;;;9;;Wagenknecht
Wolfgang Kubicki;9;FDP;Bundestagsvizepräsident;;;;9;;;Kubicki
Robert Habeck;8;Grüne;Parteivorsitzender;;;8;;;;Habeck
Sigmar Gabriel;8;SPD;Vorsitzender Atlantik-Brücke e.V., Bundesaußenminister a. D.;;8;;;;;Gabriel
Tobias Hans;8;CDU;Ministerpräsident Saarland;8;;;;;;Hans
Cem Özdemir;7;Grüne;ehemaliger Parteivorsitzender, Bundestagswahlkreis Stuttgart I;;;7;;;;Özdemir
Christian Lindner;7;FDP;Partei- und Fraktionsvorsitzender;;;;7;;;Lindner
Katja Kipping;7;Linke;Parteivorsitzende;;;;;7;;Kipping
Manuela Schwesig;7;SPD;Ministerpräsidentin Mecklenburg-Vorpommern;;7;;;;;Schwesig
Bodo Ramelow;6;Linke;Ministerpräsident Thüringen;;;;;6;;Ramelow
Karl-Josef Laumann;6;CDU;Minister für Arbeit, Gesundheit und Soziales, NRW;6;;;;;;Laumann
Franziska Giffey;5;SPD;Bundesministerin für Familie, Senioren, Frauen und Jugend;;5;;;;;Giffey
Friedrich Merz;5;CDU;kandidiert für Parteivorsitz;5;;;;;;Merz
Gerhart Baum;5;FDP;Bundesinnenminister a. D.;;;;5;;;Baum
Heiko Maas;5;SPD;Außenminister;;5;;;;;Maas
Jens Spahn;5;CDU;Bundesminister für Gesundheit;5;;;;;;Spahn
Karoline Preisler;5;FDP;Politikerin und Covid-19-Patientin;;;;5;;;Preisler
Kevin Kühnert;5;SPD;Stellvertretender Parteivorsitzender und Bundesvorsitzender der Jusos;;5;;;;;Kühnert
Alexander Graf Lambsdorff;4;FDP;stellv. Fraktionsvorsitzender;;;;4;;;Lambsdorff
Carsten Linnemann;4;CDU;Stellvertretender Fraktionsvorsitzender und Bundesvorsitzender der Mittelstands- und Wirtschaftsunion;4;;;;;;Linnemann
Michael Kretschmer;4;CDU;Ministerpräsident Sachsen;4;;;;;;Kretschmer
