date,geliefert,verimpft,rueckstau,average
2020-12-26,151125,0,151125,
2020-12-27,151125,23998,127127,
2020-12-28,672750,42383,630367,
2020-12-29,672750,90959,581791,
2020-12-30,1326000,152131,1173869,
2020-12-31,1326000,200979,1125021,
2021-01-01,1326000,220253,1105747,699292
2021-01-02,1326000,272863,1053137,828151
2021-01-03,1326000,296950,1029050,956997
2021-01-04,1326000,345291,980709,1007046
2021-01-05,1326000,398645,927355,1056413
2021-01-06,1326000,461428,864572,1012227
2021-01-07,1326000,517411,808589,967023
2021-01-08,2013375,580077,1433298,1013816
2021-01-09,2013375,640961,1372414,1059427
2021-01-10,2013375,675942,1337433,1103481
2021-01-11,2013375,742080,1271295,1144994
2021-01-12,2076975,824648,1252327,1191418
2021-01-13,2076975,935357,1141618,1230996
2021-01-14,2076975,1017852,1059123,1266787
2021-01-15,2076975,1107752,969223,1200490
2021-01-16,2076975,1164828,912147,1134738
2021-01-17,2076975,1212231,864744,1067211
2021-01-18,2076975,1293394,783581,997538
2021-01-19,2919375,1405595,1513780,1034888
2021-01-20,2919375,1535812,1383563,1069452
2021-01-21,2919375,1639771,1279604,1100949
2021-01-22,2919375,1741308,1178067,1130784
2021-01-23,2919375,1826592,1092783,1156589
2021-01-24,2919375,1875742,1043633,1182144
2021-01-25,2919375,1971615,947760,1205599
2021-01-26,3408435,2070643,1337792,1180457
2021-01-27,3408435,2181182,1227253,1158127
2021-01-28,3408435,2271965,1136470,1137680
2021-01-29,3408435,2379534,1028901,1116370
2021-01-30,3408435,2465250,943185,1094999
2021-01-31,3498435,2522215,976220,1085369
2021-02-01,3498435,2642263,856172,1072285
2021-02-02,4246065,2771231,1474834,1091862
2021-02-03,4246065,2927844,1318221,1104858
2021-02-04,4246065,3057632,1188433,1112281
2021-02-05,4246065,3198612,1047453,1114931
2021-02-06,4591665,3296410,1295255,1165227
2021-02-07,4591665,3349715,1241950,1203188
2021-02-08,4591665,3458868,1132797,1242706
2021-02-09,5339295,3590534,1748761,1281839
2021-02-10,5339295,3738499,1600796,1322206
2021-02-11,5339295,3879873,1459422,1360919
2021-02-12,5730495,4035194,1695301,1453469
2021-02-13,5730495,4142693,1587802,1495261
2021-02-14,5730495,4207488,1523007,1535412
2021-02-15,5912895,4333571,1579324,1599202
2021-02-16,6817305,4467882,2349423,1685011
2021-02-17,6817305,4617340,2199965,1770606
2021-02-18,6817305,4760809,2056496,1855903
2021-02-19,7532505,4912955,2619550,1987938
2021-02-20,7532505,5026907,2505598,2119052
2021-02-21,7532505,5112683,2419822,2247168
2021-02-22,7532505,5272699,2259806,2344380
2021-02-23,8459145,5438438,3020707,2440278
2021-02-24,8459145,5611863,2847282,2532752
2021-02-25,8459145,5799123,2660022,2618970
2021-02-26,8459145,6005042,2454103,2595334
2021-02-27,8802345,6152401,2649944,2615955
2021-02-28,8802345,6260346,2541999,2633409
2021-03-01,8802345,6453884,2348461,2646074
2021-03-02,10467135,6671905,3795230,2756720
2021-03-03,10467135,6912388,3554747,2857787
2021-03-04,10467135,7152667,3314468,2951279
2021-03-05,10467135,7415489,3051646,3036642
2021-03-06,10467135,7617041,2850094,3065235
2021-03-07,10467135,7766077,2701058,3087958
2021-03-08,10467135,8002905,2464230,3104496
2021-03-09,12510555,8251715,4258840,3170726
2021-03-10,12510555,8531432,3979123,3231351
2021-03-11,12510555,8809358,3701197,3286598
2021-03-12,12510555,9127709,3382846,3333913
2021-03-13,12510555,9373040,3137515,3374973
2021-03-14,12510555,9543841,2966714,3412924
2021-03-15,12875355,9790233,3085122,3501622
2021-03-16,13958775,9969472,3989303,3463117
2021-03-17,13958775,10172318,3786457,3435593
2021-03-18,13958775,10365213,3593562,3420217
2021-03-19,13958775,10604706,3354069,3416106
2021-03-20,13958775,10822422,3136353,3415940
2021-03-21,14390775,10987829,3402946,3478259
2021-03-22,14390775,11249445,3141330,3486289
2021-03-23,15671175,11541640,4129535,3506322
2021-03-24,15671175,11862138,3809037,3509547
2021-03-25,15671175,12184703,3486472,3494249
2021-03-26,15872775,12538744,3334031,3491386
2021-03-27,15872775,12817534,3055241,3479799
2021-03-28,15872775,13010655,2862120,3402538
2021-03-29,15872775,13306281,2566494,3320419
2021-03-30,17300175,13615692,3684483,3256840
2021-03-31,17300175,13929377,3370798,3194234
2021-04-01,17300175,14221047,3079128,3136042
2021-04-02,17950575,14445984,3504591,3160408
2021-04-03,19695375,14669348,5026027,3441949
2021-04-04,19695375,14862422,4832953,3723496
2021-04-05,19695375,15105477,4589898,4012554
2021-04-06,19695375,15427516,4267859,4095893
